K,A
"hello","Happy LaTeXing!~"
"下载","TeX Live 2018下载：http://mirrors.ustc.edu.cn/CTAN/systems/texlive/Images/"
"简历","LaTeX简历：http://www.latexstudio.net/archives/12402"
"tikz","Tikz&PGF：http://www.latexstudio.net/archives/category/tex-graphics/tikz-example"
"lshort","lshort到这里下载：http://www.latexstudio.net/tex-documents"
"beamer","南方科技大学beamer主题模板：http://www.latexstudio.net/archives/11443"
"毕业","南方科技大学毕业论文LaTeX模板：http://www.latexstudio.net/archives/8440"
"帮助","在命令行使用texdoc查看帮助文档，或者登陆网站查看宏包帮助：https://ctan.org/topic。新手请先看lshort~"
"绘图","metapost, pstricks, Tikz&pgf：http://www.latexstudio.net/archives/category/tex-graphics"
"字体","TeX字体：http://www.latexstudio.net/archives/category/tex-resource/tex-fonts-resource"
"海报","学术海报：http://www.latexstudio.net/archives/category/tex-slides/latex-poster"
"网站","LaTeX工作室：http://www.latexstudio.net"
"狮子",插图整理下载：http://www.latexstudio.net/archives/1010"
"在线","Overleaf,Real-time Collaborative Writing and Publishing Tools：https://www.overleaf.com/"
"mwe","请使用最小工作示例代码：https://github.com/Iydon/LaTeX-Group_Keywords/blob/master/MWE.png"
"符号","LaTeX支持的符号大全：http://mirrors.ctan.org/info/symbols/comprehensive/symbols-a4.pdf"
